State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
HARYANA,28.043894789579163,77.01935130260523,86,Gurgaon,1514432,67087,854.35,73.37
HARYANA,28.14873109756098,77.32718536585368,88,Faridabad,1809733,43437,873.22,70.33
NCT OF DELHI,27.29600352941175,88.74908392156858,93,East,1709346,80037,883.58,79.15
RAJASTHAN,29.256785412667963,73.56192303262948,99,Ganganagar,1969168,6295,887.37,60.6
RAJASTHAN,29.1813351791531,74.74632573289902,100,Hanumangarh,1774692,3360,905.84,58.27
RAJASTHAN,28.12489068322981,73.26943322981371,101,Bikaner,2363937,7607,905.17,54.1
RAJASTHAN,28.29330375536484,74.65846427038629,102,Churu,2039547,2577,939.75,56.35
RAJASTHAN,28.13517401247401,75.52840893970894,103,Jhunjhunun,2137045,4828,950.04,64.12
RAJASTHAN,27.55271738035265,76.65359630562563,104,Alwar,3674179,9750,894.86,59.4
RAJASTHAN,27.32411858037578,77.21752077244258,105,Bharatpur,2548462,4179,879.78,58.11
RAJASTHAN,26.72397054945053,77.74476219780222,106,Dhaulpur,1206516,1330,845.82,56.62
RAJASTHAN,26.51901555555556,76.96081818181815,107,Karauli,1458248,1059,860.87,55.26
RAJASTHAN,26.251081180223288,76.4219283891548,108,Sawai Madhopur,1335551,1887,897.01,55.54
RAJASTHAN,26.91234817629181,76.57342097264443,109,Dausa,1634409,1719,905.38,57.39
RAJASTHAN,27.033459290187885,75.77117286012533,110,Jaipur,6626178,76565,910.38,64.91
RAJASTHAN,27.64644058641976,75.29317422839503,111,Sikar,2677333,5647,947.17,61.71
RAJASTHAN,27.07862016048146,74.14215667001012,112,Nagaur,3307743,4449,949.95,53.17
RAJASTHAN,26.678460838536967,73.00450847457628,113,Jodhpur,3687165,19335,916.48,55.1
RAJASTHAN,26.86900838548185,71.18371877346682,114,Jaisalmer,669919,754,852.1,46.07
RAJASTHAN,25.77070908045978,71.50297126436782,115,Barmer,2603751,2766,901.91,45.64
RAJASTHAN,25.07578093797277,72.18647261724662,116,Jalor,1828730,1585,952.45,45.36
RAJASTHAN,24.7976905263158,72.75309131578943,117,Sirohi,1036346,2146,939.88,46.01
RAJASTHAN,25.80490393541874,73.55285640766907,118,Pali,2037573,4043,987.06,53.28
RAJASTHAN,26.199300378787903,74.6990419191919,119,Ajmer,2583052,13499,950.82,59.1
RAJASTHAN,26.153935071707927,75.79192216427637,120,Tonk,1421326,1908,952.01,52.74
RAJASTHAN,25.48580716049379,75.79984074074079,121,Bundi,1110906,1392,924.78,52.66
RAJASTHAN,25.45119767759564,74.63947595628417,122,Bhilwara,2408523,6207,973.01,52.15
RAJASTHAN,25.24894767441859,73.96570215946844,123,Rajsamand,1156597,1989,989.54,53.53
RAJASTHAN,23.75104807692308,73.84765641025645,124,Dungarpur,1388552,1477,993.52,49.09
RAJASTHAN,23.453642032967014,74.44246868131869,125,Banswara,1797485,2324,980.15,46.14
